,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-02-09,8.4,1.6,5.1,6.6,-1.1,2.6,-0.8,66.4,0.0,25,0.0,rain,0,0,29.5,22.3,169.2,1022.4,72.7,15.4,54.6,4.7,3,10,2023-02-09T06:48:55,2023-02-09T17:08:35,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,KBED,0518W,KBOS"
1,"Boston, MA, United States",2023-02-10,12.3,6.2,10.1,12.3,2.3,8.8,4.3,68.3,0.3,57,4.17,rain,0,0,50.0,33.5,246.8,1007.5,47.6,15.0,143.9,12.5,5,10,2023-02-10T06:47:39,2023-02-10T17:09:53,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
2,"Boston, MA, United States",2023-02-11,5.0,0.4,2.9,1.0,-3.7,-1.6,-5.9,53.1,0.0,3,0.0,,0,0,38.9,27.7,290.3,1018.3,20.9,16.3,158.4,13.8,5,10,2023-02-11T06:46:22,2023-02-11T17:11:11,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
3,"Boston, MA, United States",2023-02-12,7.3,0.0,3.1,4.6,-5.0,-0.6,-5.0,55.7,0.3,22,4.17,rain,0,0,31.3,20.5,219.4,1018.8,49.4,17.6,124.3,11.1,3,10,2023-02-12T06:45:04,2023-02-12T17:12:29,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"Boston, MA, United States",2023-02-13,4.8,1.0,3.1,-0.2,-3.9,-1.5,-0.3,78.3,1.6,44,16.67,"rain,snow",0,0,43.6,29.5,25.5,1009.7,86.2,24.1,82.3,7.2,2,10,2023-02-13T06:43:44,2023-02-13T17:13:47,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,"Boston, MA, United States",2023-02-14,7.1,-0.6,2.8,3.8,-5.3,-1.4,-2.5,69.2,0.0,27,0.0,,0,0,31.0,20.5,307.5,1010.6,34.1,24.1,162.5,14.1,4,10,2023-02-14T06:42:23,2023-02-14T17:15:04,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Boston, MA, United States",2023-02-15,9.4,0.2,5.0,6.0,-3.8,1.3,1.2,76.6,0.9,31,12.5,rain,0,0,39.6,26.6,216.7,1017.6,57.4,24.1,62.3,5.1,3,10,2023-02-15T06:41:01,2023-02-15T17:16:22,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,"Boston, MA, United States",2023-02-16,13.9,5.6,9.5,13.9,2.1,8.1,6.4,81.6,0.8,37,12.5,rain,0,0,41.4,27.8,215.5,1009.6,67.7,21.5,88.8,7.5,3,10,2023-02-16T06:39:37,2023-02-16T17:17:39,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
